Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
605.mcf_s-994B,spp,0.19871,13029565,10358140,3022,632,1
605.mcf_s-994B,spp_ppf,0.19529,27555601,9468431,2261,615036,1
605.mcf_s-994B,bingo,0.19167,78154403,7402089,9106,792997,1
605.mcf_s-994B,mlop,0.19304,16181522,10776133,3926,479530,1
605.mcf_s-994B,pythia,0.2004,20388106,8474049,2205,614763,1
605.mcf_s-994B,dspatch,0.18905,38262785,10529308,2013,685603,1
620.omnetpp_s-141B,spp,0,0,0,0,0,0
620.omnetpp_s-141B,spp_ppf,0.23507,12045692,3232982,473458,923827,0
620.omnetpp_s-141B,bingo,0.23875,12922108,2704550,478104,608466,0
620.omnetpp_s-141B,mlop,0.23292,9511808,3671952,445952,782080,0
620.omnetpp_s-141B,pythia,0.23552,8400906,3372362,461299,867944,0
620.omnetpp_s-141B,dspatch,0.237,13660222,2991886,429093,863401,0
623.xalancbmk_s-10B,spp,0.31019,8005278,6111902,82341,28557,1
623.xalancbmk_s-10B,spp_ppf,0.33024,20869045,5758682,63245,13534,1
623.xalancbmk_s-10B,bingo,0.30829,42237918,6061559,86378,62587,1
623.xalancbmk_s-10B,mlop,0.302,13651674,7648616,76475,48591,1
623.xalancbmk_s-10B,pythia,0.33165,11266945,5476064,63381,13569,1
623.xalancbmk_s-10B,dspatch,0.31106,21420335,7144529,55192,10578,1
607.cactuBSSN_s-2421B,spp,1.15983,4009095,567983,196,1193,1
607.cactuBSSN_s-2421B,spp_ppf,1.20375,4135745,222947,105,326,1
607.cactuBSSN_s-2421B,bingo,0.89907,3851386,3698256,473,596,1
607.cactuBSSN_s-2421B,mlop,1.28745,3844841,69905,5,3,1
607.cactuBSSN_s-2421B,pythia,1.2553,3929079,77783,5,23,1
607.cactuBSSN_s-2421B,dspatch,1.22953,3935813,223373,24,139,1
619.lbm_s-2677B,spp,0.37709,32865397,755329,17753502,9202672,1
619.lbm_s-2677B,spp_ppf,0.38063,32831525,230838,17752656,9169437,1
619.lbm_s-2677B,bingo,0.38095,32833079,270958,17752683,9171632,1
619.lbm_s-2677B,mlop,0.37981,32827941,293584,17751702,9164521,1
619.lbm_s-2677B,pythia,0.36959,32841993,447314,17752867,9180132,1
619.lbm_s-2677B,dspatch,0.37948,32837323,291919,17752621,9173097,1
628.pop2_s-17B,spp,1.11506,2227683,140771,675409,366084,1
628.pop2_s-17B,spp_ppf,1.15508,2229768,57865,644029,389067,1
628.pop2_s-17B,bingo,1.11638,2155133,177596,648217,377721,1
628.pop2_s-17B,mlop,1.11471,2279608,148855,659207,391806,1
628.pop2_s-17B,pythia,1.14381,2188251,57099,648679,409472,1
628.pop2_s-17B,dspatch,1.0811,2304665,312469,644093,347386,1
649.fotonik3d_s-10881B,spp,0.50853,11661629,2903675,2,389181,1
649.fotonik3d_s-10881B,spp_ppf,0.49361,18234928,2974279,4,4734926,1
649.fotonik3d_s-10881B,bingo,0.51093,14593330,3614292,5,3393802,1
649.fotonik3d_s-10881B,mlop,0.54273,14754368,2203939,4,877084,1
649.fotonik3d_s-10881B,pythia,0.50923,19735270,3737330,0,4744807,1
649.fotonik3d_s-10881B,dspatch,0.47193,16279217,4538278,4,4475755,1
654.roms_s-1007B,spp,0.6887,4292330,258695,905104,766707,1
654.roms_s-1007B,spp_ppf,0.70163,4289559,195124,813056,752447,1
654.roms_s-1007B,bingo,0.64687,4392232,646535,821460,760226,1
654.roms_s-1007B,mlop,0.69692,4538908,201474,913776,762747,1
654.roms_s-1007B,pythia,0.71601,4107139,76670,798860,752629,1
654.roms_s-1007B,dspatch,0.66218,4541315,554111,800943,751567,1
cassandra_phase0_core0,spp,0.36781,1451931,545207,89657,45493,1
cassandra_phase0_core0,spp_ppf,0.37832,2037362,402397,82424,166241,1
cassandra_phase0_core0,bingo,0.36323,1467153,531625,85080,102135,1
cassandra_phase0_core0,mlop,0.36966,4630938,539075,90475,87477,1
cassandra_phase0_core0,pythia,0.37844,1448139,384614,72908,159659,1
cassandra_phase0_core0,dspatch,0.363,2666954,635646,93663,130045,1
cloud9_phase5_core2,spp,0.14295,1075379,703162,61816,107830,1
cloud9_phase5_core2,spp_ppf,0.14367,1565975,621832,51563,135409,1
cloud9_phase5_core2,bingo,0.14434,3120634,526014,30199,66337,1
cloud9_phase5_core2,mlop,0.14308,1130254,701136,55074,126121,1
cloud9_phase5_core2,pythia,0.14409,1396985,618141,26097,138424,1
cloud9_phase5_core2,dspatch,0.14434,2038005,598044,42205,97794,1
nutch_phase0_core0,spp,0.32837,519023,87764,43772,24811,1
nutch_phase0_core0,spp_ppf,0.33017,810366,57361,40604,193793,1
nutch_phase0_core0,bingo,0.32857,738338,96497,42613,231429,1
nutch_phase0_core0,mlop,0.32973,703774,62243,39312,103670,1
nutch_phase0_core0,pythia,0.33045,705715,54286,42021,204088,1
nutch_phase0_core0,dspatch,0.32516,906849,134393,40235,155066,1
streaming_phase1_core0,spp,0.22308,713192,258002,139804,50627,1
streaming_phase1_core0,spp_ppf,0.22445,882583,95647,142432,19281,1
streaming_phase1_core0,bingo,0.22502,732143,116856,128183,49829,1
streaming_phase1_core0,mlop,0.22456,1156977,112378,151053,61080,1
streaming_phase1_core0,pythia,0.22457,650530,104977,118596,27103,1
streaming_phase1_core0,dspatch,0.22216,1178921,207319,165357,16522,1
